0,0,0,0
1,0,1,0
1,0,1,0
0,1,1,0
0,1,1,0
1,1,1,0
0,1,1,0
1,1,1,0
1,1,1,0
0,1,1,0
1,2,0,1
0,1,1,0
1,2,0,1,13:55:41
0,0,1,0,14:31:47
0,0,1,0,14:35:49
2,2,1,0,14:43:24
2,2,1,0,14:45:35
2,2,1,0,14:47:01
2,2,1,0,14:47:53
1,2,1,0,14:49:22
1,2,1,0,15:04:58
1,2,1,0,16:26:22
1,2,1,0,16:46:45
0,1,1,0,17:05:51
0,1,1,0,17:08:45
0,1,1,0,17:11:07
1,1,1,0,17:12:34
1,1,1,0,17:15:06
1,1,1,0,17:16:04
1,1,1,0,17:16:55
1,1,1,0,17:17:52
1,1,1,0,17:18:40
0,1,1,0,17:36:38
0,1,1,0,17:36:57
1,1,1,0,17:37:58
3,1,1,0,17:57:56
3,1,1,0,17:59:23
